assetId,authorId,name,category,publishDate,amount,price,description
72,8,Gymnorhina tibicen,Digital,2023-07-30,1.1901,4060.6212,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis.
73,10,Canis mesomelas,Photograph,2023-03-18,5.1112,17439.4144,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero."
74,1,Tyto novaehollandiae,Digital,2023-12-13,1.3445,4587.434,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh.
75,9,Pseudocheirus peregrinus,Digital,2023-07-14,9.9476,33941.2112,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.
76,9,Struthio camelus,Painting,2024-02-10,8.4979,28994.8348,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy."
77,6,Hyaena brunnea,Digital,2023-05-04,2.9128,9938.4736,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."
78,2,Alcelaphus buselaphus caama,Painting,2023-07-28,8.8206,30095.8872,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.
79,4,Macropus parryi,Painting,2024-01-19,4.1236,14069.7232,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl.
80,3,Naja haje,Digital,2023-05-19,1.5764,5378.6768,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh.
81,8,Aquila chrysaetos,Painting,2023-11-02,2.4923,8503.7276,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.
82,5,Crotaphytus collaris,Photograph,2023-11-21,6.3375,21623.55,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo."
83,7,unavailable,Photograph,2024-02-19,6.0555,20661.366,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo."
84,10,Macaca mulatta,Photograph,2023-12-19,9.3157,31785.1684,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."
85,1,Oryx gazella,Painting,2023-05-03,4.4249,15097.7588,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor.
86,4,Plocepasser mahali,Photograph,2023-07-17,6.8454,23356.5048,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus."
87,8,Varanus salvator,Painting,2024-01-07,6.4709,22078.7108,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio."
88,6,Macaca nemestrina,Painting,2023-12-10,6.1734,21063.6408,"Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci."
89,1,Larus novaehollandiae,Digital,2024-01-04,0.0474,161.7288,Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst.
90,2,Eudyptula minor,Photograph,2023-08-28,4.0367,13773.2204,"Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci."
91,10,Eubalaena australis,Photograph,2023-05-29,6.5611,22386.4732,Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo.
92,2,Theropithecus gelada,Painting,2024-01-04,0.5183,1768.4396,Pellentesque ultrices mattis odio. Donec vitae nisi.
93,5,Herpestes javanicus,Digital,2024-01-07,7.3567,25101.0604,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis."
94,6,Odocoileus hemionus,Photograph,2023-08-17,5.1009,17404.2708,Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl.
95,1,Elephas maximus bengalensis,Painting,2023-12-31,3.8517,13142.0004,"Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede."
96,3,Acridotheres tristis,Photograph,2023-08-30,8.4288,28759.0656,In quis justo. Maecenas rhoncus aliquam lacus.
97,7,Anas bahamensis,Painting,2023-05-21,4.6522,15873.3064,Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.
98,9,Lama guanicoe,Photograph,2023-11-12,9.4609,32280.5908,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante."
99,8,Damaliscus lunatus,Photograph,2023-04-25,8.6425,29488.21,"Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim."
100,4,Equus hemionus,Digital,2023-04-09,8.3811,28596.3132,Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.
101,5,Anas bahamensis,Painting,2024-02-10,9.6009,32758.2708,"Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum."
102,3,Morelia spilotes variegata,Photograph,2023-10-26,1.5838,5403.9256,Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.
103,7,Turtur chalcospilos,Digital,2023-04-09,2.6024,8879.3888,Integer ac neque. Duis bibendum.
104,4,Prionace glauca,Painting,2023-03-08,4.7524,16215.1888,Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum.
105,8,Pseudocheirus peregrinus,Photograph,2024-01-24,9.3424,31876.2688,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."
106,5,Boa caninus,Digital,2023-03-26,6.2476,21316.8112,"Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante."
107,10,Dacelo novaeguineae,Painting,2023-12-24,0.2579,879.9548,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque."
108,6,unavailable,Digital,2023-06-10,2.4207,8259.4284,"Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."
109,3,Cracticus nigroagularis,Digital,2023-12-03,6.0551,20660.0012,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac nibh.
110,4,Cebus nigrivittatus,Digital,2023-05-04,5.7693,19684.8516,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum."
111,2,Creagrus furcatus,Painting,2024-02-03,7.2009,24569.4708,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.
112,1,unavailable,Digital,2023-06-25,5.2339,17858.0668,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh.
113,8,Pituophis melanaleucus,Photograph,2023-10-29,1.7311,5906.5132,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem."
114,9,Choloepus hoffmani,Photograph,2023-12-26,7.3237,24988.4644,Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.
115,7,Chionis alba,Painting,2024-01-17,7.1707,24466.4284,"Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis."
116,10,Columba palumbus,Painting,2023-03-03,5.0963,17388.5756,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti."
117,9,Petaurus breviceps,Painting,2023-10-13,8.1079,27664.1548,Vestibulum sed magna at nunc commodo placerat. Praesent blandit.
118,8,Genetta genetta,Photograph,2023-09-29,3.0956,10562.1872,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum."
119,7,Uraeginthus angolensis,Digital,2024-02-24,7.8387,26745.6444,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla."
120,6,Coluber constrictor,Digital,2023-06-30,6.8704,23441.8048,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum."
121,8,Tamandua tetradactyla,Digital,2024-01-19,0.9158,3124.7096,Quisque ut erat. Curabitur gravida nisi at nibh.
122,10,Phoenicopterus ruber,Digital,2023-12-19,7.1361,24348.3732,Donec posuere metus vitae ipsum. Aliquam non mauris.
123,1,Mungos mungo,Painting,2023-10-11,2.8247,9637.8764,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy."
124,5,Francolinus coqui,Photograph,2024-01-21,9.3827,32013.7724,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum."
125,6,Salvadora hexalepis,Photograph,2023-10-23,7.1442,24376.0104,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.
126,4,Martes pennanti,Digital,2024-02-24,4.7457,16192.3284,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem."
127,2,Uraeginthus bengalus,Digital,2023-03-03,4.3219,14746.3228,Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.
128,7,Uraeginthus granatina,Painting,2024-02-20,9.3548,31918.5776,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero."
129,3,Oryx gazella callotis,Photograph,2023-11-09,6.0647,20692.7564,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus."
130,9,Felis silvestris lybica,Digital,2023-11-12,7.0921,24198.2452,Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla.
131,10,Macropus agilis,Painting,2023-12-15,4.4015,15017.918,Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.
132,1,Nasua narica,Painting,2023-11-04,0.5042,1720.3304,Suspendisse potenti. Nullam porttitor lacus at turpis.
133,3,Merops nubicus,Digital,2023-12-14,2.5136,8576.4032,Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis.
134,8,unavailable,Photograph,2023-08-28,6.4315,21944.278,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem."
135,9,Seiurus aurocapillus,Photograph,2023-10-09,5.0562,17251.7544,Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.
136,8,Paraxerus cepapi,Photograph,2023-04-10,8.9034,30378.4008,Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla.
137,9,Nectarinia chalybea,Digital,2023-11-18,6.9479,23706.2348,"Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est."
138,6,Coluber constrictor,Painting,2023-05-16,0.5483,1870.7996,Aenean fermentum. Donec ut mauris eget massa tempor convallis.
139,10,Erinaceus frontalis,Photograph,2024-02-15,2.1409,7304.7508,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.
140,4,Pelecans onocratalus,Painting,2023-04-30,3.3745,11513.794,Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla.
